MASTER_SERIES_ID,TITLE,SEAMLESS_CODE,SEAMLESS_FLAG,SERIES_TYPE,CP_CD,MCP_CD,SERS_ENDBRD_YN,VIRTUAL_DVD_FLAG,RATING,ADULT_CATEGORY_ONLY,GENRE_MAIN,SUB_GENRE,GENRE_DISPLAY,ORIGIN_TITLE,ORIGIN_TITLE_LANG,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,SEASON_NO,SUBTITLE_DUBBED,SUBTITLE_DUBBED_LANG,BROAD_CHANNEL,BROAD_DAY,APPLIED_SCREEN,COUNTRY_OF_ORIGIN,YEAR,MULTI_CAPTION_FLAG,MULTI_CAPTION_INFO,MULTI_AUDIO_FLAG,MULTI_AUDIO_INFO,DESCRIPTION,NOTICE_DESCRIPTION
90000000012720,가면라이더 제로원 (하),1,Y,01,00313,00313,N,N,3,N,040100,,1401,,,,,,1,,,,화,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 화요일에 업데이트 됩니다.]
AI 로봇이 실용화된 세계를 무대로, 인공지능 기술을 둘러싼 싸움에 맞서는 가면라이더의 이야기
(1화",
90000000011385,2021 세계테마기행,1,Y,01,00003,00003,N,N,1,N,060000,,1103,,,,,,1,,,EBS,"월,화,수,목","TV,PHONE,PAD,PC",KOR,,N,,N,,"살아있는 체험기를 전달하는 여행 프로그램. 전 세계를 직접 다니며 찬란한 문명 유적지와 자연유산, 다양한 방식으로 삶을 영위해 가는 세계인들의 ",
90000000012736,2020 고교동창 골프최강전	,1,Y,01,00524,00524,Y,N,1,N,090700,,1807,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,2020 고교동창 골프최강전,
90000000012470,우리 집 이야기,1,Y,01,52482,52482,N,N,4,N,030500,030400,1203,,3,"카네코 후미노리,야마무로 다이스케,",,"나가세 토모야,토다 에리카,나가야마 켄토,에구치 노리코",1,1,1,기타,수,"TV,PHONE,PAD,PC",JPN,,N,,N,,"[본 시리즈는 매주 목요일에 업데이트 될 예정입니다.]
마음이 맞지 않는다고 생각하고 떠났던 가족이 다시 모여 살기 시작하면서 귀찮음과 동시에 치",
90000000012808,마우스,1,Y,01,00344,00344,N,N,4,N,030500,,1101,,,,,"이승기,이희준,박주현,경수진,안재욱,김정난,권화운,조재윤,정애리,안내상,",1,,,tvN,"수,목","TV,PHONE,PAD,PC",KOR,,N,,N,,무법 형사 고무치가 사이코패스 중 상위 1퍼센트로 불리는 가장 악랄한 프레데터와 대치 끝에 운명이 송두리째 뒤바뀌는 모습을 그려낸 본격 인간 헌,
90000000012554,A-CHU,1,Y,01,52922,52922,N,N,4,N,090100,,1805,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,매주 놓쳐선 안되는 아프리카TV 추천 핫클립,
90000000012730,대진제국 4 : 대진부 (상),1,Y,01,00498,00498,Y,N,4,N,031100,,1205,,4,"고기면,류영도,강룡,연예",,"장로일,단혁굉,이내문",1,1,1,기타,"월,화,수,목","TV,PHONE,PAD,PC",CHN,2020,N,,N,,"[본 시리즈는 매주 매주 화~금요일에 업데이트 될 예정입니다.]
전국시대 후기, 강력한 진나라를 이룩한 소양왕의 사후, 뒤를 이은 효문왕마저 붕어하",
90000000012904,달려라 댕댕이,0,N,01,50071,50071,N,N,3,N,050100,,1102,,,"박차현,임연정,김태훈,류제경",,"이태성,심진화,김원효,김수찬,김지민",1,,,기타,월,"TV,PHONE,PAD,PC",KOR,,N,,N,,"연예계 대표 애견인 4팀과 그들의 반려견이 '도그 어질리티(dog agility)'를 배우고 함께 호흡을 맞춰나가며, 정식 어질리티 대회에 도전하는 과정 속에서 ",
90000000011037,밍꼬발랄 프렌즈 2,1,Y,01,00134,00134,N,N,4,N,040700,,1403,,,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 매주 수요일에 업데이트 됩니다.]
똥꼬발랄 밍꼬와 친구들이 오늘은 어떤 재미난 이야기를 보여줄까?! 밍꼬의 병맛 코믹 영상! 밍꼬발",
90000000010543,재난탈출 생존왕,0,N,01,00033,00033,N,N,3,N,060000,,1103,,,"김승동,이승석,조현우,박건욱","김서경,이루다,이다솜,안유연,황정혜,","김숙,이광용,정시아,최영재",1,,,KBS1,금,"TV,PHONE,PAD",KOR,,N,,N,,"다양한 재난 현장을 직접 찾아가 원인과 위험성을 알아보고, 실험, 사고 체험, 상황 재연 등을 통해 안전정보를 입체적으로 전달하는 프로그램",
